event_name,upsell_date,new_renewal_cycle,membership_id,membership_amount,currency,renews_at,new_plan,churn_date,cancellation_date,log_creation_time,charge_amount_usd
MembershipRenewed,,,15,,USD,2020-06-25 07:00:00+00:00,,,,2020-03-25,
MembershipUpdated,,,22,,USD,2020-06-30 00:00:00+00:00,,,,2020-03-30,
MembershipRenewed,,,22,,USD,2020-06-30 00:00:00+00:00,,,,2020-03-30,
MembershipUpdated,,,18,499.0,USD,2020-03-25 00:00:00+00:00,,,,2020-03-31,499.0
MembershipUpdated,,,7,499.0,USD,,,,,2020-03-31,499.0
MembershipRenewed,,,20,,USD,2020-05-01 00:00:00+00:00,,,,2020-03-31,
MembershipUpdated,,,1,,USD,2020-05-01 00:00:00+00:00,,,,2020-04-01,
MembershipRenewed,,,1,,USD,2020-05-01 00:00:00+00:00,,,,2020-04-01,
MembershipUpdated,,,5,,USD,2020-07-01 00:00:00+00:00,,,,2020-04-01,
MembershipRenewed,,,5,,USD,2020-07-01 00:00:00+00:00,,,,2020-04-01,
MembershipActivated,,,82,499.0,USD,2020-07-01 00:00:00+00:00,,,,2020-04-02,499.0
MembershipRenewed,,,20,,USD,2020-05-01 00:00:00+00:00,,,,2020-04-02,
MembershipCancelled,,,1,,USD,,,,,2020-04-03,
MembershipRenewed,,,20,,USD,2020-05-01 00:00:00+00:00,,,,2020-04-03,
MembershipRenewed,,,78,,USD,2020-06-04 00:00:00+00:00,,,,2020-04-06,
MembershipActivated,,,83,499.0,USD,2020-07-06 18:00:00+00:00,,,,2020-04-06,499.0
MembershipUpdated,,,83,499.0,USD,,,,,2020-04-07,499.0
MembershipRenewed,,,14,,USD,2020-06-06 00:00:00+00:00,,,,2020-04-07,
MembershipActivated,,,84,499.0,USD,2020-07-09 00:00:00+00:00,,,,2020-04-09,499.0
MembershipUpdated,,,82,499.0,USD,,,,,2020-04-14,499.0
MembershipRenewed,,,20,,USD,2020-05-01 00:00:00+00:00,,,,2020-04-14,
MembershipActivated,,,85,499.0,USD,2020-07-13 00:00:00+00:00,,,,2020-04-14,499.0
MembershipUpdated,,,7,,USD,2020-07-15 00:00:00+00:00,,,,2020-04-15,
MembershipRenewed,,,7,,USD,2020-07-15 00:00:00+00:00,,,,2020-04-15,
MembershipUpdated,,,12,,USD,2020-07-15 00:00:00+00:00,,,,2020-04-15,
MembershipRenewed,,,12,,USD,2020-07-15 00:00:00+00:00,,,,2020-04-15,
MembershipRenewed,,,74,,USD,2020-05-24 00:00:00+00:00,,,,2020-04-20,
MembershipValueChanged,,3.0,85,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,84,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,83,999.0,USD,,,,,2020-04-20,999.0
MembershipValueChanged,,3.0,82,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,82,999.0,USD,,,,,2020-04-20,999.0
MembershipValueChanged,,3.0,80,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,79,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,78,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,77,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,76,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,75,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,74,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,73,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,71,2999.0,USD,,,,,2020-04-20,2999.0
MembershipValueChanged,,3.0,70,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,67,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,25,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,21,999.0,USD,,,,,2020-04-20,999.0
MembershipValueChanged,,3.0,18,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,15,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,13,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,13,579.0,USD,,,,,2020-04-20,579.0
MembershipValueChanged,,3.0,7,499.0,USD,,,,,2020-04-20,499.0
MembershipValueChanged,,3.0,2,5952.0,DKK,,,,,2020-04-20,892.8
MembershipRenewed,,1.0,20,,USD,2020-05-01 00:00:00+00:00,,,,2020-04-21,
MembershipActivated,,,86,499.0,USD,2020-07-23 00:00:00+00:00,,,,2020-04-24,499.0
MembershipValueChanged,,3.0,86,499.0,USD,,,,,2020-04-24,499.0
MembershipUpdated,,,73,499.0,USD,2020-07-28 00:00:00+00:00,,,,2020-04-28,499.0
MembershipRenewed,,,73,,USD,2020-07-28 00:00:00+00:00,,,,2020-04-28,
MembershipCancelled,,,73,,USD,,,,2020-07-28 00:00:00+00:00,2020-04-28,
MembershipValueChanged,,3.0,73,579.0,USD,,,,,2020-04-28,579.0
MembershipRenewed,,,74,,USD,2020-05-24 00:00:00+00:00,,,,2020-04-28,
MembershipRenewed,,1.0,20,,USD,2020-05-01 00:00:00+00:00,,,,2020-04-28,
MembershipUpdated,,,83,499.0,USD,2020-05-01 00:00:00+00:00,,,,2020-04-29,499.0
MembershipValueChanged,,12.0,83,6000.0,USD,,,,,2020-04-29,6000.0
MembershipActivated,,,87,499.0,USD,2020-07-29 12:00:00+00:00,,,,2020-04-29,499.0
MembershipValueChanged,,3.0,87,499.0,USD,,,,,2020-04-29,499.0
MembershipRenewed,,,76,,USD,2020-06-17 00:00:00+00:00,,,,2020-04-30,
MembershipUpdated,,,20,499.0,USD,2020-08-01 00:00:00+00:00,,,,2020-05-01,499.0
MembershipRenewed,,,20,,USD,2020-08-01 00:00:00+00:00,,,,2020-05-01,
MembershipUpdated,,,21,499.0,USD,2020-08-01 00:00:00+00:00,,,,2020-05-01,499.0
MembershipRenewed,,,21,,USD,2020-08-01 00:00:00+00:00,,,,2020-05-01,
MembershipUpdated,,,70,499.0,USD,2020-08-01 00:00:00+00:00,,,,2020-05-01,499.0
MembershipRenewed,,,70,,USD,2020-08-01 00:00:00+00:00,,,,2020-05-01,
MembershipUpdated,,,71,499.0,USD,2020-08-01 00:00:00+00:00,,,,2020-05-01,499.0
MembershipRenewed,,,71,,USD,2020-08-01 00:00:00+00:00,,,,2020-05-01,
MembershipUpdated,,,83,499.0,USD,2021-05-01 00:00:00+00:00,,,,2020-05-01,499.0
MembershipRenewed,,,83,,USD,2021-05-01 00:00:00+00:00,,,,2020-05-01,
MembershipUpdated,,,83,499.0,USD,2021-01-01 00:00:00+00:00,,,,2020-05-01,499.0
MembershipUpdated,,,83,499.0,USD,2021-01-01 00:00:00+00:00,,,,2020-05-01,499.0
MembershipUpdated,,,83,499.0,USD,2021-01-01 00:00:00+00:00,,,,2020-05-01,499.0
MembershipRenewed,,1.0,80,,USD,2020-06-16 00:00:00+00:00,,,,2020-05-05,
MembershipRenewed,,1.0,76,,USD,2020-06-17 00:00:00+00:00,,,,2020-05-05,
MembershipActivated,,,88,499.0,USD,2020-08-05 19:00:00+00:00,,,,2020-05-05,499.0
MembershipValueChanged,,3.0,88,499.0,USD,,,,,2020-05-05,499.0
MembershipUpdated,,,88,499.0,USD,2020-08-05 19:00:00+00:00,,,,2020-05-05,499.0
MembershipRenewed,,3.0,88,,USD,2020-08-05 19:00:00+00:00,,,,2020-05-05,
MembershipUpdated,,,87,499.0,USD,2020-07-29 12:00:00+00:00,,,,2020-05-05,499.0
MembershipActivated,,,89,499.0,USD,2020-08-05 00:00:00+00:00,,,,2020-05-07,499.0
MembershipValueChanged,,3.0,89,499.0,USD,,,,,2020-05-07,499.0
MembershipActivated,,,90,499.0,USD,2020-06-01 00:00:00+00:00,,,,2020-05-07,499.0
MembershipValueChanged,,12.0,90,499.0,USD,,,,,2020-05-07,499.0
MembershipUpdated,,,90,499.0,USD,2021-01-01 00:00:00+00:00,,,,2020-05-07,499.0
MembershipUpsellUpdated,2020-05-01 00:00:53+00:00,,83,6000.0,USD,,,,,2020-05-08,6000.0
MembershipUpsellUpdated,2020-03-01 00:00:16+00:00,,25,499.0,USD,,,,,2020-05-08,499.0
MembershipUpsellUpdated,2020-02-18 00:00:07+00:00,,23,999.0,USD,,,,,2020-05-08,999.0
MembershipUpsellUpdated,2020-03-30 00:00:08+00:00,,22,999.0,USD,,,,,2020-05-08,999.0
MembershipUpsellUpdated,2020-02-01 00:00:13+00:00,,21,499.0,USD,,,,,2020-05-08,499.0
MembershipUpsellUpdated,2020-05-01 00:00:08+00:00,,21,999.0,USD,,,,,2020-05-08,999.0
MembershipUpsellUpdated,2020-02-01 00:00:11+00:00,,20,499.0,USD,,,,,2020-05-08,499.0
MembershipUpsellUpdated,2020-02-19 00:00:10+00:00,,19,499.0,USD,,,,,2020-05-08,499.0
MembershipUpsellUpdated,2019-12-25 08:00:10+00:00,,18,499.0,USD,,,,,2020-05-08,499.0
MembershipUpsellUpdated,2019-09-25 08:00:14+00:00,,16,100.0,USD,,,,,2020-05-08,100.0
MembershipUpsellUpdated,2019-12-25 07:00:18+00:00,,16,100.0,USD,,,,,2020-05-08,100.0
MembershipUpsellUpdated,2019-12-25 07:00:08+00:00,,15,499.0,USD,,,,,2020-05-08,499.0
MembershipUpsellUpdated,2020-03-06 00:00:08+00:00,,14,999.0,USD,,,,,2020-05-08,999.0
MembershipUpsellUpdated,2020-01-15 00:00:27+00:00,,12,499.0,USD,,,,,2020-05-08,499.0
MembershipUpsellUpdated,2020-03-01 00:00:15+00:00,,8,499.0,USD,,,,,2020-05-08,499.0
MembershipUpsellUpdated,2020-01-15 00:00:24+00:00,,7,499.0,USD,,,,,2020-05-08,499.0
MembershipUpsellUpdated,2020-03-01 00:00:13+00:00,,6,499.0,USD,,,,,2020-05-08,499.0
MembershipUpsellUpdated,2020-01-01 00:00:09+00:00,,5,699.0,USD,,,,,2020-05-08,699.0
MembershipUpsellUpdated,2019-08-02 16:52:02+00:00,,2,579.0,DKK,,,,,2020-05-08,86.85
MembershipUpsellUpdated,2019-12-01 00:00:09+00:00,,2,499.0,DKK,,,,,2020-05-08,74.85
MembershipUpsellUpdated,2020-03-01 00:00:12+00:00,,2,5952.0,DKK,,,,,2020-05-08,892.8
MembershipUpsellUpdated,2019-10-01 00:00:12+00:00,,1,499.0,USD,,,,,2020-05-08,499.0
MembershipUpsellUpdated,2020-01-01 00:00:08+00:00,,1,499.0,USD,,,,,2020-05-08,499.0
MembershipChurnUpdated,,,73,579.0,USD,,,2020-07-28 00:00:00+00:00,,2020-05-08,579.0
MembershipChurnUpdated,,,16,100.0,USD,,,2019-09-25 08:00:14+00:00,,2020-05-08,100.0
MembershipChurnUpdated,,,16,579.0,USD,,,2020-03-25 07:00:00+00:00,,2020-05-08,579.0
MembershipChurnUpdated,,,13,579.0,USD,,,2020-03-10 00:00:00+00:00,,2020-05-08,579.0
MembershipChurnUpdated,,,7,499.0,USD,,,2019-10-15 00:00:11+00:00,,2020-05-08,499.0
MembershipChurnUpdated,,,5,2097.0,USD,,,2019-08-08 09:18:37+00:00,,2020-05-08,2097.0
MembershipChurnUpdated,,,2,579.0,DKK,,,2019-06-10 10:01:38+00:00,,2020-05-08,86.85
MembershipChurnUpdated,,,1,579.0,USD,,,2019-09-01 00:00:10+00:00,,2020-05-08,579.0
MembershipChurnUpdated,,,1,579.0,USD,,,2020-05-01 00:00:00+00:00,,2020-05-08,579.0
MembershipUpdated,,,90,499.0,USD,2021-01-01 00:00:00+00:00,,,,2020-05-11,499.0
MembershipUpdated,,,89,499.0,USD,2020-08-05 00:00:00+00:00,,,,2020-05-11,499.0
MembershipUpdated,,,86,499.0,USD,2020-07-23 00:00:00+00:00,,,,2020-05-11,499.0
MembershipUpdated,,,85,499.0,USD,2020-07-13 00:00:00+00:00,,,,2020-05-11,499.0
MembershipUpdated,,,84,499.0,USD,2020-07-09 00:00:00+00:00,,,,2020-05-11,499.0
MembershipUpdated,,,82,499.0,USD,2020-07-01 00:00:00+00:00,,,,2020-05-11,499.0
MembershipUpdated,,,74,499.0,USD,2020-05-24 00:00:00+00:00,,,,2020-05-11,499.0
MembershipUpdated,,,20,499.0,USD,2020-08-01 00:00:00+00:00,,,,2020-05-11,499.0
MembershipActivated,,,91,499.0,USD,2020-08-01 00:00:00+00:00,,,,2020-05-11,499.0
MembershipValueChanged,,3.0,91,499.0,USD,,,,,2020-05-11,499.0
MembershipUpdated,,,83,499.0,USD,2021-01-01 00:00:00+00:00,,,,2020-05-12,499.0
MembershipRenewed,,,6,,USD,2020-06-01 00:00:00+00:00,,,,2020-05-12,
MembershipUpdated,,,76,499.0,USD,2020-06-17 00:00:00+00:00,,,,2020-05-12,499.0
MembershipUpdated,,,78,499.0,USD,2020-06-04 00:00:00+00:00,,,,2020-05-12,499.0
MembershipUpdated,,,75,499.0,USD,2020-08-14 00:00:00+00:00,,,,2020-05-14,499.0
MembershipRenewed,,,75,,USD,2020-08-14 00:00:00+00:00,,,,2020-05-14,
MembershipUpdated,,,23,499.0,USD,2020-08-18 00:00:00+00:00,,,,2020-05-18,499.0
MembershipRenewed,,,23,,USD,2020-08-18 00:00:00+00:00,,,,2020-05-18,
MembershipUpdated,,,6,499.0,USD,2020-10-01 00:00:00+00:00,,,,2020-05-18,499.0
MembershipValueChanged,,6.0,6,1666.0,USD,,,,,2020-05-18,1666.0
MembershipUpdated,,,6,499.0,USD,2020-11-01 00:00:00+00:00,,,,2020-05-18,499.0
MembershipUpdated,,,19,499.0,USD,2020-08-19 00:00:00+00:00,,,,2020-05-19,499.0
MembershipRenewed,,,19,,USD,2020-08-19 00:00:00+00:00,,,,2020-05-19,
MembershipUpdated,,,78,499.0,USD,2020-06-04 00:00:00+00:00,,,,2020-05-19,499.0
MembershipActivated,,,92,499.0,USD,2020-08-11 00:00:00+00:00,,,,2020-05-22,499.0
MembershipValueChanged,,3.0,92,499.0,USD,,,,,2020-05-22,499.0
MembershipUpdated,,,74,499.0,USD,2020-08-24 00:00:00+00:00,,,,2020-05-24,499.0
MembershipRenewed,,,74,499.0,USD,2020-08-24 00:00:00+00:00,,,,2020-05-24,499.0
MembershipRenewed,,,78,499.0,USD,2020-06-04 00:00:00+00:00,,,,2020-05-26,499.0
MembershipActivated,,,93,499.0,USD,2020-08-28 10:00:00+00:00,,,,2020-05-28,499.0
MembershipValueChanged,,3.0,93,499.0,USD,,,,,2020-05-28,499.0
MembershipRenewed,,,76,499.0,USD,2020-06-17 00:00:00+00:00,,,,2020-05-29,499.0
MembershipUpdated,,,2,499.0,DKK,2020-09-01 00:00:00+00:00,,,,2020-06-01,74.85
MembershipRenewed,,,2,499.0,DKK,2020-09-01 00:00:00+00:00,,,,2020-06-01,74.85
MembershipUpdated,,,8,499.0,USD,2020-09-01 00:00:00+00:00,,,,2020-06-01,499.0
MembershipRenewed,,,8,499.0,USD,2020-09-01 00:00:00+00:00,,,,2020-06-01,499.0
MembershipUpdated,,,25,499.0,USD,2020-09-01 00:00:00+00:00,,,,2020-06-01,499.0
MembershipRenewed,,,25,499.0,USD,2020-09-01 00:00:00+00:00,,,,2020-06-01,499.0
MembershipUpdated,,,79,499.0,USD,2020-09-01 00:00:00+00:00,,,,2020-06-01,499.0
MembershipRenewed,,,79,499.0,USD,2020-09-01 00:00:00+00:00,,,,2020-06-01,499.0
MembershipCancelled,,,2,499.0,DKK,,,,2020-09-01 00:00:00+00:00,2020-06-02,74.85
MembershipValueChanged,,3.0,2,579.0,DKK,,,,,2020-06-02,86.85
MembershipChurnUpdated,,,2,579.0,DKK,,,2020-09-01 00:00:00+00:00,,2020-06-02,86.85
MembershipRenewed,,,14,499.0,USD,2020-06-06 00:00:00+00:00,,,,2020-06-03,499.0
MembershipActivated,,,94,499.0,USD,2020-07-03 12:00:00+00:00,,,,2020-06-03,499.0
MembershipValueChanged,,3.0,94,499.0,USD,,,,,2020-06-03,499.0
MembershipUpdated,,,77,499.0,USD,2020-09-03 13:00:00+00:00,,,,2020-06-03,499.0
MembershipRenewed,,,77,499.0,USD,2020-09-03 13:00:00+00:00,,,,2020-06-03,499.0
MembershipUpdated,,,78,499.0,USD,2020-06-04 00:00:00+00:00,,,,2020-06-03,499.0
MembershipValueChanged,,3.0,78,1200.0,USD,,,,,2020-06-03,1200.0
MembershipUpsellUpdated,2020-06-04 00:00:13+00:00,,78,3600.0,USD,,,,,2020-06-04,3600.0
MembershipUpdated,,,78,499.0,USD,2020-09-04 00:00:00+00:00,,,,2020-06-04,499.0
MembershipRenewed,,,78,499.0,USD,2020-09-04 00:00:00+00:00,,,,2020-06-04,499.0
MembershipUpdated,,,14,499.0,USD,2020-09-06 00:00:00+00:00,,,,2020-06-06,499.0
MembershipRenewed,,,14,499.0,USD,2020-09-06 00:00:00+00:00,,,,2020-06-06,499.0
MembershipRenewed,,,82,499.0,USD,2020-07-01 00:00:00+00:00,,,,2020-06-11,499.0
MembershipActivated,,,95,499.0,USD,2020-09-03 00:00:00+00:00,,,,2020-06-11,499.0
MembershipValueChanged,,3.0,95,499.0,USD,,,,,2020-06-11,499.0
MembershipActivated,,,96,499.0,USD,2020-09-11 08:00:00+00:00,,,,2020-06-11,499.0
MembershipValueChanged,,3.0,96,499.0,USD,,,,,2020-06-11,499.0
MembershipUpdated,,,93,499.0,USD,2020-08-28 10:00:00+00:00,,,,2020-06-11,499.0
MembershipUpdated,,,14,499.0,USD,2020-09-06 00:00:00+00:00,,,,2020-06-11,499.0
MembershipActivated,,,97,499.0,USD,2020-09-15 11:00:00+00:00,,,,2020-06-15,499.0
MembershipValueChanged,,3.0,97,999.0,USD,,,,,2020-06-15,999.0
MembershipUpdated,,,80,499.0,USD,2020-09-16 00:00:00+00:00,,,,2020-06-16,499.0
MembershipRenewed,,,80,499.0,USD,2020-09-16 00:00:00+00:00,,,,2020-06-16,499.0
MembershipUpdated,,,67,499.0,USD,2020-09-17 00:00:00+00:00,,,,2020-06-17,499.0
MembershipRenewed,,,67,499.0,USD,2020-09-17 00:00:00+00:00,,,,2020-06-17,499.0
MembershipUpdated,,,76,499.0,USD,2020-09-17 00:00:00+00:00,,,,2020-06-17,499.0
MembershipRenewed,,,76,499.0,USD,2020-09-17 00:00:00+00:00,,,,2020-06-17,499.0
MembershipUpdated,,,15,499.0,USD,2020-09-25 07:00:00+00:00,,,,2020-06-25,499.0
MembershipRenewed,,,15,499.0,USD,2020-09-25 07:00:00+00:00,,,,2020-06-25,499.0
MembershipUpdated,,,22,499.0,USD,2020-09-30 00:00:00+00:00,,,,2020-06-30,499.0
MembershipRenewed,,,22,499.0,USD,2020-09-30 00:00:00+00:00,,,,2020-06-30,499.0
MembershipActivated,,,98,499.0,USD,2020-09-29 00:00:00+00:00,,,,2020-06-30,499.0
MembershipValueChanged,,3.0,98,499.0,USD,,,,,2020-06-30,499.0
MembershipUpdated,,,5,499.0,USD,2020-10-01 00:00:00+00:00,,,,2020-07-01,499.0
MembershipRenewed,,,5,499.0,USD,2020-10-01 00:00:00+00:00,,,,2020-07-01,499.0
MembershipUpsellUpdated,2020-07-01 00:00:18+00:00,,82,7125.0,USD,,,,,2020-07-01,7125.0
MembershipUpdated,,,82,499.0,USD,2020-10-01 00:00:00+00:00,,,,2020-07-01,499.0
MembershipRenewed,,,82,499.0,USD,2020-10-01 00:00:00+00:00,,,,2020-07-01,499.0
