event_name,upsell_date,new_renewal_cycle,membership_id,membership_amount,currency,renews_at,new_plan,churn_date,cancellation_date,log_creation_time
MembershipUpdated,,,6,,USD,2020-06-01T00:00:00+0000,,,,"March 1, 2020"
MembershipRenewed,,,6,,USD,2020-06-01T00:00:00+0000,,,,"March 1, 2020"
MembershipUpdated,,,8,,USD,2020-06-01T00:00:00+0000,,,,"March 1, 2020"
MembershipRenewed,,,8,,USD,2020-06-01T00:00:00+0000,,,,"March 1, 2020"
MembershipUpdated,,,25,,USD,2020-06-01T00:00:00+0000,,,,"March 1, 2020"
MembershipRenewed,,,25,,USD,2020-06-01T00:00:00+0000,,,,"March 1, 2020"
MembershipUpdated,,,67,,USD,2020-06-17T00:00:00+0000,,,,"March 1, 2020"
MembershipRenewed,,,67,,USD,2020-06-17T00:00:00+0000,,,,"March 1, 2020"
MembershipActivated,,,76,499,USD,2020-06-17T00:00:00+0000,,,,"March 3, 2020"
MembershipActivated,,,77,499,USD,2020-06-03T13:00:00+0000,,,,"March 3, 2020"
MembershipRenewed,,,14,,USD,2020-03-06T00:00:00+0000,,,,"March 4, 2020"
MembershipActivated,,,78,499,USD,2020-06-04T00:00:00+0000,,,,"March 5, 2020"
MembershipUpdated,,,14,,USD,2020-06-06T00:00:00+0000,,,,"March 6, 2020"
MembershipRenewed,,,14,,USD,2020-06-06T00:00:00+0000,,,,"March 6, 2020"
MembershipRenewed,,,15,,USD,2020-03-25T07:00:00+0000,,,,"March 17, 2020"
MembershipActivated,,,79,499,USD,2020-06-01T00:00:00+0000,,,,"March 18, 2020"
MembershipActivated,,,80,499,USD,2020-06-16T00:00:00+0000,,,,"March 19, 2020"
MembershipRenewed,,,20,,USD,2020-05-01T00:00:00+0000,,,,"March 20, 2020"
MembershipRenewed,,,18,,USD,2019-12-25T08:00:00+0000,,,,"March 23, 2020"
MembershipUpdated,,,15,,USD,2020-06-25T07:00:00+0000,,,,"March 25, 2020"
MembershipRenewed,,,15,,USD,2020-06-25T07:00:00+0000,,,,"March 25, 2020"
MembershipUpdated,,,22,,USD,2020-06-30T00:00:00+0000,,,,"March 30, 2020"
MembershipRenewed,,,22,,USD,2020-06-30T00:00:00+0000,,,,"March 30, 2020"
MembershipUpdated,,,18,499,USD,2020-03-25T00:00:00+0000,,,,"March 31, 2020"
MembershipUpdated,,,7,499,USD,,,,,"March 31, 2020"
MembershipRenewed,,,20,,USD,2020-05-01T00:00:00+0000,,,,"March 31, 2020"
MembershipUpdated,,,1,,USD,2020-05-01T00:00:00+0000,,,,"April 1, 2020"
MembershipRenewed,,,1,,USD,2020-05-01T00:00:00+0000,,,,"April 1, 2020"
MembershipUpdated,,,5,,USD,2020-07-01T00:00:00+0000,,,,"April 1, 2020"
MembershipRenewed,,,5,,USD,2020-07-01T00:00:00+0000,,,,"April 1, 2020"
MembershipActivated,,,82,499,USD,2020-07-01T00:00:00+0000,,,,"April 2, 2020"
MembershipRenewed,,,20,,USD,2020-05-01T00:00:00+0000,,,,"April 2, 2020"
MembershipCancelled,,,1,,USD,,,,,"April 3, 2020"
MembershipRenewed,,,20,,USD,2020-05-01T00:00:00+0000,,,,"April 3, 2020"
MembershipRenewed,,,78,,USD,2020-06-04T00:00:00+0000,,,,"April 6, 2020"
MembershipActivated,,,83,499,USD,2020-07-06T18:00:00+0000,,,,"April 6, 2020"
MembershipUpdated,,,83,499,USD,,,,,"April 7, 2020"
MembershipRenewed,,,14,,USD,2020-06-06T00:00:00+0000,,,,"April 7, 2020"
MembershipActivated,,,84,499,USD,2020-07-09T00:00:00+0000,,,,"April 9, 2020"
MembershipUpdated,,,82,499,USD,,,,,"April 14, 2020"
MembershipRenewed,,,20,,USD,2020-05-01T00:00:00+0000,,,,"April 14, 2020"
MembershipActivated,,,85,499,USD,2020-07-13T00:00:00+0000,,,,"April 14, 2020"
MembershipUpdated,,,7,,USD,2020-07-15T00:00:00+0000,,,,"April 15, 2020"
MembershipRenewed,,,7,,USD,2020-07-15T00:00:00+0000,,,,"April 15, 2020"
MembershipUpdated,,,12,,USD,2020-07-15T00:00:00+0000,,,,"April 15, 2020"
MembershipRenewed,,,12,,USD,2020-07-15T00:00:00+0000,,,,"April 15, 2020"
MembershipRenewed,,,74,,USD,2020-05-24T00:00:00+0000,,,,"April 20, 2020"
MembershipValueChanged,,3,85,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,84,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,83,999,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,82,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,82,999,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,80,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,79,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,78,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,77,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,76,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,75,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,74,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,73,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,71,2999,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,70,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,67,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,25,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,21,999,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,18,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,15,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,13,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,13,579,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,7,499,USD,,,,,"April 20, 2020"
MembershipValueChanged,,3,2,5952,DKK,,,,,"April 20, 2020"
MembershipRenewed,,1,20,,USD,2020-05-01T00:00:00+0000,,,,"April 21, 2020"
MembershipActivated,,,86,499,USD,2020-07-23T00:00:00+0000,,,,"April 24, 2020"
MembershipValueChanged,,3,86,499,USD,,,,,"April 24, 2020"
MembershipUpdated,,,73,499,USD,2020-07-28T00:00:00+0000,,,,"April 28, 2020"
MembershipRenewed,,,73,,USD,2020-07-28T00:00:00+0000,,,,"April 28, 2020"
MembershipCancelled,,,73,,USD,,,,2020-07-28T00:00:00+0000,"April 28, 2020"
MembershipValueChanged,,3,73,579,USD,,,,,"April 28, 2020"
MembershipRenewed,,,74,,USD,2020-05-24T00:00:00+0000,,,,"April 28, 2020"
MembershipRenewed,,1,20,,USD,2020-05-01T00:00:00+0000,,,,"April 28, 2020"
MembershipUpdated,,,83,499,USD,2020-05-01T00:00:00+0000,,,,"April 29, 2020"
MembershipValueChanged,,12,83,6000,USD,,,,,"April 29, 2020"
MembershipActivated,,,87,499,USD,2020-07-29T12:00:00+0000,,,,"April 29, 2020"
MembershipValueChanged,,3,87,499,USD,,,,,"April 29, 2020"
MembershipRenewed,,,76,,USD,2020-06-17T00:00:00+0000,,,,"April 30, 2020"
MembershipUpdated,,,20,499,USD,2020-08-01T00:00:00+0000,,,,"May 1, 2020"
MembershipRenewed,,,20,,USD,2020-08-01T00:00:00+0000,,,,"May 1, 2020"
MembershipUpdated,,,21,499,USD,2020-08-01T00:00:00+0000,,,,"May 1, 2020"
MembershipRenewed,,,21,,USD,2020-08-01T00:00:00+0000,,,,"May 1, 2020"
MembershipUpdated,,,70,499,USD,2020-08-01T00:00:00+0000,,,,"May 1, 2020"
MembershipRenewed,,,70,,USD,2020-08-01T00:00:00+0000,,,,"May 1, 2020"
MembershipUpdated,,,71,499,USD,2020-08-01T00:00:00+0000,,,,"May 1, 2020"
MembershipRenewed,,,71,,USD,2020-08-01T00:00:00+0000,,,,"May 1, 2020"
MembershipUpdated,,,83,499,USD,2021-05-01T00:00:00+0000,,,,"May 1, 2020"
MembershipRenewed,,,83,,USD,2021-05-01T00:00:00+0000,,,,"May 1, 2020"
MembershipUpdated,,,83,499,USD,2021-01-01T00:00:00+0000,,,,"May 1, 2020"
MembershipUpdated,,,83,499,USD,2021-01-01T00:00:00+0000,,,,"May 1, 2020"
MembershipUpdated,,,83,499,USD,2021-01-01T00:00:00+0000,,,,"May 1, 2020"
MembershipRenewed,,1,80,,USD,2020-06-16T00:00:00+0000,,,,"May 5, 2020"
MembershipRenewed,,1,76,,USD,2020-06-17T00:00:00+0000,,,,"May 5, 2020"
MembershipActivated,,,88,499,USD,2020-08-05T19:00:00+0000,,,,"May 5, 2020"
MembershipValueChanged,,3,88,499,USD,,,,,"May 5, 2020"
MembershipUpdated,,,88,499,USD,2020-08-05T19:00:00+0000,,,,"May 5, 2020"
MembershipRenewed,,3,88,,USD,2020-08-05T19:00:00+0000,,,,"May 5, 2020"
MembershipUpdated,,,87,499,USD,2020-07-29T12:00:00+0000,,,,"May 5, 2020"
MembershipActivated,,,89,499,USD,2020-08-05T00:00:00+0000,,,,"May 7, 2020"
MembershipValueChanged,,3,89,499,USD,,,,,"May 7, 2020"
MembershipActivated,,,90,499,USD,2020-06-01T00:00:00+0000,,,,"May 7, 2020"
MembershipValueChanged,,12,90,499,USD,,,,,"May 7, 2020"
MembershipUpdated,,,90,499,USD,2021-01-01T00:00:00+0000,,,,"May 7, 2020"
MembershipUpsellUpdated,2020-05-01T00:00:53+0000,,83,6000,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-03-01T00:00:16+0000,,25,499,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-02-18T00:00:07+0000,,23,999,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-03-30T00:00:08+0000,,22,999,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-02-01T00:00:13+0000,,21,499,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-05-01T00:00:08+0000,,21,999,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-02-01T00:00:11+0000,,20,499,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-02-19T00:00:10+0000,,19,499,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2019-12-25T08:00:10+0000,,18,499,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2019-09-25T08:00:14+0000,,16,100,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2019-12-25T07:00:18+0000,,16,100,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2019-12-25T07:00:08+0000,,15,499,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-03-06T00:00:08+0000,,14,999,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-01-15T00:00:27+0000,,12,499,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-03-01T00:00:15+0000,,8,499,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-01-15T00:00:24+0000,,7,499,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-03-01T00:00:13+0000,,6,499,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-01-01T00:00:09+0000,,5,699,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2019-08-02T16:52:02+0000,,2,579,DKK,,,,,"May 8, 2020"
MembershipUpsellUpdated,2019-12-01T00:00:09+0000,,2,499,DKK,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-03-01T00:00:12+0000,,2,5952,DKK,,,,,"May 8, 2020"
MembershipUpsellUpdated,2019-10-01T00:00:12+0000,,1,499,USD,,,,,"May 8, 2020"
MembershipUpsellUpdated,2020-01-01T00:00:08+0000,,1,499,USD,,,,,"May 8, 2020"
MembershipChurnUpdated,,,73,579,USD,,,2020-07-28T00:00:00+0000,,"May 8, 2020"
MembershipChurnUpdated,,,16,100,USD,,,2019-09-25T08:00:14+0000,,"May 8, 2020"
MembershipChurnUpdated,,,16,579,USD,,,2020-03-25T07:00:00+0000,,"May 8, 2020"
MembershipChurnUpdated,,,13,579,USD,,,2020-03-10T00:00:00+0000,,"May 8, 2020"
MembershipChurnUpdated,,,7,499,USD,,,2019-10-15T00:00:11+0000,,"May 8, 2020"
MembershipChurnUpdated,,,5,2097,USD,,,2019-08-08T09:18:37+0000,,"May 8, 2020"
MembershipChurnUpdated,,,2,579,DKK,,,2019-06-10T10:01:38+0000,,"May 8, 2020"
MembershipChurnUpdated,,,1,579,USD,,,2019-09-01T00:00:10+0000,,"May 8, 2020"
MembershipChurnUpdated,,,1,579,USD,,,2020-05-01T00:00:00+0000,,"May 8, 2020"
MembershipUpdated,,,90,499,USD,2021-01-01T00:00:00+0000,,,,"May 11, 2020"
MembershipUpdated,,,89,499,USD,2020-08-05T00:00:00+0000,,,,"May 11, 2020"
MembershipUpdated,,,86,499,USD,2020-07-23T00:00:00+0000,,,,"May 11, 2020"
MembershipUpdated,,,85,499,USD,2020-07-13T00:00:00+0000,,,,"May 11, 2020"
MembershipUpdated,,,84,499,USD,2020-07-09T00:00:00+0000,,,,"May 11, 2020"
MembershipUpdated,,,82,499,USD,2020-07-01T00:00:00+0000,,,,"May 11, 2020"
MembershipUpdated,,,74,499,USD,2020-05-24T00:00:00+0000,,,,"May 11, 2020"
MembershipUpdated,,,20,499,USD,2020-08-01T00:00:00+0000,,,,"May 11, 2020"
MembershipActivated,,,91,499,USD,2020-08-01T00:00:00+0000,,,,"May 11, 2020"
MembershipValueChanged,,3,91,499,USD,,,,,"May 11, 2020"
MembershipUpdated,,,83,499,USD,2021-01-01T00:00:00+0000,,,,"May 12, 2020"
MembershipRenewed,,,6,,USD,2020-06-01T00:00:00+0000,,,,"May 12, 2020"
MembershipUpdated,,,76,499,USD,2020-06-17T00:00:00+0000,,,,"May 12, 2020"
MembershipUpdated,,,78,499,USD,2020-06-04T00:00:00+0000,,,,"May 12, 2020"
MembershipUpdated,,,75,499,USD,2020-08-14T00:00:00+0000,,,,"May 14, 2020"
MembershipRenewed,,,75,,USD,2020-08-14T00:00:00+0000,,,,"May 14, 2020"
MembershipUpdated,,,23,499,USD,2020-08-18T00:00:00+0000,,,,"May 18, 2020"
MembershipRenewed,,,23,,USD,2020-08-18T00:00:00+0000,,,,"May 18, 2020"
MembershipUpdated,,,6,499,USD,2020-10-01T00:00:00+0000,,,,"May 18, 2020"
MembershipValueChanged,,6,6,1666,USD,,,,,"May 18, 2020"
MembershipUpdated,,,6,499,USD,2020-11-01T00:00:00+0000,,,,"May 18, 2020"
MembershipUpdated,,,19,499,USD,2020-08-19T00:00:00+0000,,,,"May 19, 2020"
MembershipRenewed,,,19,,USD,2020-08-19T00:00:00+0000,,,,"May 19, 2020"
MembershipUpdated,,,78,499,USD,2020-06-04T00:00:00+0000,,,,"May 19, 2020"
MembershipActivated,,,92,499,USD,2020-08-11T00:00:00+0000,,,,"May 22, 2020"
MembershipValueChanged,,3,92,499,USD,,,,,"May 22, 2020"
MembershipUpdated,,,74,499,USD,2020-08-24T00:00:00+0000,,,,"May 24, 2020"
MembershipRenewed,,,74,499,USD,2020-08-24T00:00:00+0000,,,,"May 24, 2020"
MembershipRenewed,,,78,499,USD,2020-06-04T00:00:00+0000,,,,"May 26, 2020"
MembershipActivated,,,93,499,USD,2020-08-28T10:00:00+0000,,,,"May 28, 2020"
MembershipValueChanged,,3,93,499,USD,,,,,"May 28, 2020"
MembershipRenewed,,,76,499,USD,2020-06-17T00:00:00+0000,,,,"May 29, 2020"
MembershipUpdated,,,2,499,DKK,2020-09-01T00:00:00+0000,,,,"June 1, 2020"
MembershipRenewed,,,2,499,DKK,2020-09-01T00:00:00+0000,,,,"June 1, 2020"
MembershipUpdated,,,8,499,USD,2020-09-01T00:00:00+0000,,,,"June 1, 2020"
MembershipRenewed,,,8,499,USD,2020-09-01T00:00:00+0000,,,,"June 1, 2020"
MembershipUpdated,,,25,499,USD,2020-09-01T00:00:00+0000,,,,"June 1, 2020"
MembershipRenewed,,,25,499,USD,2020-09-01T00:00:00+0000,,,,"June 1, 2020"
MembershipUpdated,,,79,499,USD,2020-09-01T00:00:00+0000,,,,"June 1, 2020"
MembershipRenewed,,,79,499,USD,2020-09-01T00:00:00+0000,,,,"June 1, 2020"
MembershipCancelled,,,2,499,DKK,,,,2020-09-01T00:00:00+0000,"June 2, 2020"
MembershipValueChanged,,3,2,579,DKK,,,,,"June 2, 2020"
MembershipChurnUpdated,,,2,579,DKK,,,2020-09-01T00:00:00+0000,,"June 2, 2020"
MembershipRenewed,,,14,499,USD,2020-06-06T00:00:00+0000,,,,"June 3, 2020"
MembershipActivated,,,94,499,USD,2020-07-03T12:00:00+0000,,,,"June 3, 2020"
MembershipValueChanged,,3,94,499,USD,,,,,"June 3, 2020"
MembershipUpdated,,,77,499,USD,2020-09-03T13:00:00+0000,,,,"June 3, 2020"
MembershipRenewed,,,77,499,USD,2020-09-03T13:00:00+0000,,,,"June 3, 2020"
MembershipUpdated,,,78,499,USD,2020-06-04T00:00:00+0000,,,,"June 3, 2020"
MembershipValueChanged,,3,78,1200,USD,,,,,"June 3, 2020"
MembershipUpsellUpdated,2020-06-04T00:00:13+0000,,78,3600,USD,,,,,"June 4, 2020"
MembershipUpdated,,,78,499,USD,2020-09-04T00:00:00+0000,,,,"June 4, 2020"
MembershipRenewed,,,78,499,USD,2020-09-04T00:00:00+0000,,,,"June 4, 2020"
MembershipUpdated,,,14,499,USD,2020-09-06T00:00:00+0000,,,,"June 6, 2020"
MembershipRenewed,,,14,499,USD,2020-09-06T00:00:00+0000,,,,"June 6, 2020"
MembershipRenewed,,,82,499,USD,2020-07-01T00:00:00+0000,,,,"June 11, 2020"
MembershipActivated,,,95,499,USD,2020-09-03T00:00:00+0000,,,,"June 11, 2020"
MembershipValueChanged,,3,95,499,USD,,,,,"June 11, 2020"
MembershipActivated,,,96,499,USD,2020-09-11T08:00:00+0000,,,,"June 11, 2020"
MembershipValueChanged,,3,96,499,USD,,,,,"June 11, 2020"
MembershipUpdated,,,93,499,USD,2020-08-28T10:00:00+0000,,,,"June 11, 2020"
MembershipUpdated,,,14,499,USD,2020-09-06T00:00:00+0000,,,,"June 11, 2020"
MembershipActivated,,,97,499,USD,2020-09-15T11:00:00+0000,,,,"June 15, 2020"
MembershipValueChanged,,3,97,999,USD,,,,,"June 15, 2020"
MembershipUpdated,,,80,499,USD,2020-09-16T00:00:00+0000,,,,"June 16, 2020"
MembershipRenewed,,,80,499,USD,2020-09-16T00:00:00+0000,,,,"June 16, 2020"
MembershipUpdated,,,67,499,USD,2020-09-17T00:00:00+0000,,,,"June 17, 2020"
MembershipRenewed,,,67,499,USD,2020-09-17T00:00:00+0000,,,,"June 17, 2020"
MembershipUpdated,,,76,499,USD,2020-09-17T00:00:00+0000,,,,"June 17, 2020"
MembershipRenewed,,,76,499,USD,2020-09-17T00:00:00+0000,,,,"June 17, 2020"
MembershipUpdated,,,15,499,USD,2020-09-25T07:00:00+0000,,,,"June 25, 2020"
MembershipRenewed,,,15,499,USD,2020-09-25T07:00:00+0000,,,,"June 25, 2020"
MembershipUpdated,,,22,499,USD,2020-09-30T00:00:00+0000,,,,"June 30, 2020"
MembershipRenewed,,,22,499,USD,2020-09-30T00:00:00+0000,,,,"June 30, 2020"
MembershipActivated,,,98,499,USD,2020-09-29T00:00:00+0000,,,,"June 30, 2020"
MembershipValueChanged,,3,98,499,USD,,,,,"June 30, 2020"
MembershipUpdated,,,5,499,USD,2020-10-01T00:00:00+0000,,,,"July 1, 2020"
MembershipRenewed,,,5,499,USD,2020-10-01T00:00:00+0000,,,,"July 1, 2020"
MembershipUpsellUpdated,2020-07-01T00:00:18+0000,,82,7125,USD,,,,,"July 1, 2020"
MembershipUpdated,,,82,499,USD,2020-10-01T00:00:00+0000,,,,"July 1, 2020"
MembershipRenewed,,,82,499,USD,2020-10-01T00:00:00+0000,,,,"July 1, 2020"
MembershipUpdated,,,82,499,USD,2020-10-01T00:00:00+0000,,,,"July 2, 2020"
MembershipValueChanged,,3,82,12555,USD,,,,,"July 2, 2020"
MembershipActivated,,,94,499,USD,2020-10-03T12:00:00+0000,,,,"July 3, 2020"
MembershipRenewed,,,94,499,USD,2020-10-03T12:00:00+0000,,,,"July 3, 2020"
MembershipActivated,,,99,499,USD,2020-10-07T00:00:00+0000,,,,"July 8, 2020"
MembershipValueChanged,,3,99,999,USD,,,,,"July 8, 2020"
MembershipUpdated,,,99,499,USD,2020-10-07T00:00:00+0000,Silver,,,"July 8, 2020"
MembershipUpdated,,,84,499,USD,2020-10-09T00:00:00+0000,,,,"July 9, 2020"
MembershipRenewed,,,84,499,USD,2020-10-09T00:00:00+0000,,,,"July 9, 2020"
MembershipRenewed,,1,18,499,USD,2020-03-25T00:00:00+0000,,,,"July 9, 2020"
MembershipUpdated,,,85,499,USD,2020-10-13T00:00:00+0000,,,,"July 13, 2020"
MembershipRenewed,,,85,499,USD,2020-10-13T00:00:00+0000,,,,"July 13, 2020"
MembershipActivated,,,100,499,USD,2020-10-08T00:00:00+0000,,,,"July 13, 2020"
MembershipValueChanged,,3,100,999,USD,,Silver,,,"July 13, 2020"
MembershipUpdated,,,7,499,USD,2020-10-15T00:00:00+0000,,,,"July 15, 2020"
MembershipRenewed,,,7,499,USD,2020-10-15T00:00:00+0000,,,,"July 15, 2020"
MembershipUpdated,,,12,499,USD,2020-10-15T00:00:00+0000,,,,"July 15, 2020"
