charge_amount,currency,membership_id,description_event,discount,status,message,triggered_by,payment_method,transaction_datetime,charge_amount_usd
1497.0,USD,18,membership payment,0,Success,Success,system,PaymentCard,2020-01-28,1497.0
1497.0,USD,4,membership payment,0,Success,Success,system,PaymentCard,2020-02-04,1497.0
1497.0,USD,13,membership payment,0,Success,Success,system,PaymentCard,2020-02-04,1497.0
499.0,USD,7,membership payment,0,Success,Success,system,PaymentCard,2020-02-04,499.0
1497.0,USD,25,membership payment,0,Success,Success,system,PaymentCard,2020-02-04,1497.0
499.0,USD,19,membership payment,0,Success,Success,system,PaymentCard,2020-02-04,499.0
1497.0,USD,67,membership payment,0,Success,Success,system,PaymentCard,2020-02-04,1497.0
499.0,USD,19,membership payment,0,Success,Success,system,PaymentCard,2020-02-04,499.0
1497.0,USD,15,membership payment,0,Success,Success,system,PaymentCard,2020-02-11,1497.0
499.0,USD,21,membership payment,0,Success,Success,system,PaymentCard,2020-02-11,499.0
499.0,USD,21,membership payment,0,Success,Success,system,PaymentCard,2020-02-11,499.0
499.0,USD,21,membership payment,0,Success,Success,system,PaymentCard,2020-02-11,499.0
7125.0,USD,22,membership payment,0,Success,Success,system,PaymentCard,2020-02-18,7125.0
2997.0,USD,23,membership payment,0,Success,Success,system,PaymentCard,2020-02-18,2997.0
2097.0,USD,5,membership payment,0,Success,Success,system,PaymentCard,2020-02-18,2097.0
1497.0,USD,12,membership payment,0,Success,Success,system,PaymentCard,2020-02-18,1497.0
999.0,USD,14,membership payment,0,Success,Success,system,PaymentCard,2020-02-25,999.0
2997.0,USD,14,membership payment,0,Success,Success,system,PaymentCard,2020-02-25,2997.0
1497.0,USD,7,membership payment,0,Success,Success,system,PaymentCard,2020-02-25,1497.0
499.0,USD,21,membership payment,0,Success,Success,system,PaymentCard,2020-02-25,499.0
499.0,USD,1,membership payment,0,Success,Success,system,PaymentCard,2020-02-25,499.0
1497.0,USD,21,membership payment,0,Success,Success,system,PaymentCard,2020-02-25,1497.0
999.0,USD,14,membership payment,0,Success,Success,system,PaymentCard,2020-03-10,999.0
499.0,USD,19,membership payment,0,Success,Success,system,PaymentCard,2020-03-11,499.0
499.0,USD,19,membership payment,0,Success,Success,system,PaymentCard,2020-03-11,499.0
1497.0,USD,19,membership payment,0,Success,Success,system,PaymentCard,2020-03-11,1497.0
3371.25,USD,6,membership payment,0,Success,Success,system,PaymentCard,2020-03-11,3371.25
1497.0,USD,77,membership payment,0,Success,Success,system,PaymentCard,2020-03-13,1497.0
499.0,USD,20,membership payment,0,Success,Success,system,PaymentCard,2020-03-17,499.0
1497.0,USD,20,membership payment,0,Success,Success,system,PaymentCard,2020-03-17,1497.0
8997.0,USD,71,membership payment,0,Success,Success,system,PaymentCard,2020-03-24,8997.0
499.0,USD,18,membership payment,0,Success,Success,system,PaymentCard,2020-03-24,499.0
499.0,USD,1,membership payment,0,Success,Success,system,PaymentCard,2020-03-24,499.0
1497.0,USD,80,membership payment,0,Success,Success,system,PaymentCard,2020-03-24,1497.0
1497.0,USD,70,membership payment,0,Success,Success,system,PaymentCard,2020-04-02,1497.0
1497.0,USD,25,membership payment,0,Success,Success,system,PaymentCard,2020-04-02,1497.0
1497.0,USD,74,membership payment,0,Success,Success,system,PaymentCard,2020-04-10,1497.0
1497.0,USD,67,membership payment,0,Success,Success,system,PaymentCard,2020-04-21,1497.0
2997.0,USD,23,membership payment,0,Success,Success,system,PaymentCard,2020-04-28,2997.0
1497.0,USD,79,membership payment,0,Success,Success,system,PaymentCard,2020-05-01,1497.0
3371.25,USD,73,membership payment,0,Success,Success,system,PaymentCard,2020-05-05,3371.25
1497.0,USD,84,membership payment,0,Success,Success,system,PaymentCard,2020-05-06,1497.0
499.0,USD,67,membership payment,0,Success,Success,system,PaymentCard,2020-05-13,499.0
499.0,USD,67,membership payment,0,Success,Success,system,PaymentCard,2020-05-13,499.0
3371.25,USD,76,membership payment,0,Success,Success,system,PaymentCard,2020-05-13,3371.25
1497.0,USD,78,membership payment,0,Success,Success,system,PaymentCard,2020-05-13,1497.0
1497.0,USD,15,membership payment,0,Success,Success,system,PaymentCard,2020-05-13,1497.0
499.0,USD,78,membership payment,0,Success,Success,system,PaymentCard,2020-05-13,499.0
2997.0,USD,14,membership payment,0,Success,Success,system,PaymentCard,2020-05-19,2997.0
1497.0,USD,75,membership payment,0,Success,Success,system,PaymentCard,2020-05-19,1497.0
1497.0,USD,8,membership payment,0,Success,Success,system,PaymentCard,2020-05-19,1497.0
999.0,USD,14,membership payment,0,Success,Success,system,PaymentCard,2020-05-19,999.0
999.0,USD,14,membership payment,0,Success,Success,system,PaymentCard,2020-05-19,999.0
2997.0,USD,14,membership payment,0,Success,Success,system,PaymentCard,2020-05-19,2997.0
499.0,USD,15,membership payment,0,Success,Success,system,PaymentCard,2020-05-19,499.0
2097.0,USD,5,membership payment,0,Success,Success,system,PaymentCard,2020-05-19,2097.0
499.0,USD,18,membership payment,0,Success,Success,system,PaymentCard,2020-06-02,499.0
999.0,USD,14,membership payment,0,Success,Success,system,PaymentCard,2020-06-02,999.0
7125.0,USD,22,membership payment,0,Success,Success,system,PaymentCard,2020-06-09,7125.0
499.0,USD,20,membership payment,0,Success,Success,system,PaymentCard,2020-06-23,499.0
499.0,USD,20,membership payment,0,Success,Success,system,PaymentCard,2020-06-23,499.0
7440.0,DKK,2,membership payment,0,Success,Success,system,PaymentCard,2020-07-10,1116.0
22320.0,DKK,2,membership payment,0,Success,Success,system,PaymentCard,2020-07-10,3348.0
499.0,USD,67,membership payment,0,Success,Success,system,PaymentCard,2020-07-14,499.0
499.0,USD,67,membership payment,0,Success,Success,system,PaymentCard,2020-07-14,499.0
2997.0,USD,83,membership payment,0,Success,Success,system,PaymentCard,2020-10-15,2997.0
999.0,USD,104,membership additional service,0,Success,Success,system,PaymentCard,2020-10-26,999.0
1497.0,USD,87,membership payment,0,Success,Success,system,PaymentCard,2020-10-29,1497.0
499.0,USD,101,membership additional service,0,Success,Success,system,PaymentCard,2020-10-30,499.0
12495.0,USD,6,membership payment,0,Success,Success,system,PaymentCard,2020-11-01,12495.0
1497.0,USD,20,membership payment,0,Success,Success,system,PaymentCard,2020-11-01,1497.0
1497.0,USD,70,membership payment,0,Success,Success,system,PaymentCard,2020-11-01,1497.0
8997.0,USD,71,membership payment,0,Success,Success,system,PaymentCard,2020-11-01,8997.0
1497.0,USD,91,membership payment,0,Success,Success,system,PaymentCard,2020-11-01,1497.0
22312.5,DKK,110,membership payment,0,Success,Success,system,PaymentCard,2020-11-01,3346.875
178747.5,DKK,111,membership payment,0,Success,Success,system,PaymentCard,2020-11-01,26812.125
32497.5,DKK,112,membership payment,0,Success,Success,system,PaymentCard,2020-11-01,4874.625
10788.0,USD,119,membership payment,0,Success,Success,system,PaymentCard,2020-11-04,10788.0
3371.25,USD,89,membership payment,0,Success,Success,system,PaymentCard,2020-11-05,3371.25
499.0,USD,19,membership additional service,0,Success,Success,system,PaymentCard,2020-11-05,499.0
1497.0,USD,88,membership payment,0,Success,Success,system,PaymentCard,2020-11-05,1497.0
1497.0,USD,104,membership payment,0,Success,Success,system,PaymentCard,2020-11-06,1497.0
499.0,USD,101,membership additional service,0,Success,Success,system,PaymentCard,2020-11-09,499.0
999.0,USD,14,membership additional service,0,Success,Success,system,PaymentCard,2020-11-10,999.0
1497.0,USD,92,membership payment,0,Success,Success,system,PaymentCard,2020-11-11,1497.0
1497.0,USD,120,membership payment,0,Success,Success,system,PaymentCard,2020-11-11,1497.0
499.0,USD,19,membership additional service,0,Success,Success,system,PaymentCard,2020-11-11,499.0
1497.0,USD,121,membership payment,0,Success,Success,system,PaymentCard,2020-11-12,1497.0
2375.0,USD,99,membership additional service,0,Success,Success,system,PaymentCard,2020-11-12,2375.0
1497.0,USD,106,membership payment,0,Success,Success,system,PaymentCard,2020-11-13,1497.0
1497.0,USD,75,membership payment,0,Success,Success,system,PaymentCard,2020-11-14,1497.0
3236.4,USD,107,membership payment,0,Success,Success,system,PaymentCard,2020-11-14,3236.4
2997.0,USD,23,membership payment,0,Success,Success,system,PaymentCard,2020-11-18,2997.0
1497.0,USD,19,membership payment,0,Success,Success,system,PaymentCard,2020-11-19,1497.0
499.0,USD,15,membership additional service,0,Success,Success,system,PaymentCard,2020-11-19,499.0
499.0,USD,123,membership payment,0,Success,Success,system,PaymentCard,2020-11-19,499.0
1123.75,USD,124,membership payment,0,Success,Success,system,PaymentCard,2020-11-19,1123.75
1497.0,USD,74,membership payment,0,Success,Success,system,PaymentCard,2020-11-24,1497.0
1123.75,USD,125,membership payment,0,Success,Success,system,PaymentCard,2020-11-24,1123.75
499.0,USD,15,membership additional service,0,Success,Success,system,PaymentCard,2020-11-24,499.0
1497.0,USD,108,membership payment,0,Success,Success,system,PaymentCard,2020-11-25,1497.0
1497.0,USD,93,membership payment,0,Success,Success,system,PaymentCard,2020-11-28,1497.0
1497.0,USD,8,membership payment,0,Success,Success,system,PaymentCard,2020-12-01,1497.0
1497.0,USD,18,membership payment,0,Success,Success,system,PaymentCard,2020-12-01,1497.0
1497.0,USD,25,membership payment,0,Success,Success,system,PaymentCard,2020-12-01,1497.0
1497.0,USD,79,membership payment,0,Success,Success,system,PaymentCard,2020-12-01,1497.0
1497.0,USD,101,membership payment,0,Success,Success,system,PaymentCard,2020-12-01,1497.0
1497.0,USD,109,membership payment,0,Success,Success,system,PaymentCard,2020-12-01,1497.0
2997.0,USD,117,membership payment,0,Success,Success,system,PaymentCard,2020-12-01,2997.0
1497.0,USD,102,membership payment,0,Failed,Your card does not support this type of purchase.,system,PaymentCard,2020-12-01,1497.0
2999.0,EUR,127,membership payment,0,Success,Success,system,PaymentCard,2020-12-01,3268.9100000000003
8000.0,USD,128,membership payment,0,Success,Success,system,PaymentCard,2020-12-01,8000.0
499.0,USD,129,membership payment,0,Failed,Your card has insufficient funds.,system,PaymentCard,2020-12-01,499.0
499.0,USD,129,membership payment,0,Success,Success,system,PaymentCard,2020-12-01,499.0
1497.0,USD,95,membership payment,0,Success,Success,system,PaymentCard,2020-12-03,1497.0
2997.0,USD,114,membership payment,0,Success,Success,system,PaymentCard,2020-12-03,2997.0
3600.0,USD,78,membership payment,0,Success,Success,system,PaymentCard,2020-12-04,3600.0
499.0,USD,130,membership payment,0,Failed,Your card has insufficient funds.,system,PaymentCard,2020-12-04,499.0
2997.0,USD,14,membership payment,0,Success,Success,system,PaymentCard,2020-12-06,2997.0
3000.0,USD,131,membership payment,0,Success,Success,system,PaymentCard,2020-12-07,3000.0
1497.0,USD,130,membership payment,0,Success,Success,system,PaymentCard,2020-12-07,1497.0
2997.0,USD,130,membership payment,0,Success,Success,system,PaymentCard,2020-12-08,2997.0
1497.0,USD,132,membership payment,0,Success,Success,system,PaymentCard,2020-12-08,1497.0
1500.0,USD,133,membership payment,0,Success,Success,system,PaymentCard,2020-12-09,1500.0
1497.0,USD,134,membership payment,0,Success,Success,system,PaymentCard,2020-12-09,1497.0
1497.0,USD,96,membership payment,0,Success,Success,system,PaymentCard,2020-12-11,1497.0
2997.0,USD,97,membership payment,0,Success,Success,system,PaymentCard,2020-12-15,2997.0
499.0,USD,80,membership additional service,0,Success,Success,system,PaymentCard,2020-12-15,499.0
1497.0,USD,80,membership payment,0,Success,Success,system,PaymentCard,2020-12-16,1497.0
3371.25,USD,73,membership payment,0,Success,Success,system,PaymentCard,2020-12-16,3371.25
1497.0,USD,67,membership payment,0,Success,Success,system,PaymentCard,2020-12-17,1497.0
3371.25,USD,76,membership payment,0,Success,Success,system,PaymentCard,2020-12-17,3371.25
499.0,USD,15,membership additional service,0,Success,Success,system,PaymentCard,2020-12-17,499.0
10788.0,USD,135,membership payment,0,Success,Success,system,PaymentCard,2020-12-17,10788.0
499.0,USD,15,membership additional service,0,Success,Success,system,PaymentCard,2020-12-18,499.0
12000.0,USD,136,membership payment,0,Success,Success,system,PaymentCard,2020-12-18,12000.0
499.0,USD,123,membership payment,0,Success,Success,system,PaymentCard,2020-12-19,499.0
499.0,USD,74,membership payment,0,Success,Success,system,PaymentCard,2020-12-22,499.0
499.0,USD,138,membership payment,0,Success,Success,system,PaymentCard,2020-12-22,499.0
1497.0,USD,15,membership payment,0,Success,Success,system,PaymentCard,2020-12-25,1497.0
499.0,USD,7,membership additional service,0,Success,Success,system,PaymentCard,2020-12-26,499.0
1497.0,USD,98,membership payment,0,Success,Success,system,PaymentCard,2020-12-29,1497.0
7125.0,USD,22,membership payment,0,Success,Success,system,PaymentCard,2020-12-30,7125.0
2097.0,USD,5,membership payment,0,Success,Success,system,PaymentCard,2021-01-01,2097.0
3371.25,USD,82,membership payment,0,Success,Success,system,PaymentCard,2021-01-01,3371.25
10788.0,USD,90,membership payment,0,Success,Success,system,PaymentCard,2021-01-01,10788.0
499.0,USD,129,membership payment,0,Success,Success,system,PaymentCard,2021-01-01,499.0
22800.0,USD,149,membership payment,0,Success,Success,system,PaymentCard,2021-01-05,22800.0
1123.75,USD,150,membership payment,0,Success,Success,system,PaymentCard,2021-01-05,1123.75
6597.0,USD,151,membership payment,0,Success,Success,system,PaymentCard,2021-01-06,6597.0
499.0,USD,153,membership payment,0,Success,Success,system,PaymentCard,2021-01-06,499.0
7125.0,USD,99,membership payment,0,Success,Success,system,PaymentCard,2021-01-07,7125.0
8997.0,USD,149,membership payment,0,Success,Success,system,PaymentCard,2021-01-07,8997.0
2997.0,USD,100,membership payment,0,Success,Success,system,PaymentCard,2021-01-08,2997.0
1497.0,USD,118,membership additional service,0,Success,Success,system,PaymentCard,2021-01-08,1497.0
1497.0,USD,84,membership payment,0,Success,Success,system,PaymentCard,2021-01-09,1497.0
1096.78,USD,155,membership payment,0,Success,Success,system,PaymentCard,2021-01-11,1096.78
1497.0,USD,118,membership payment,0,Success,Success,system,PaymentCard,2021-01-12,1497.0
1497.0,USD,85,membership payment,0,Success,Success,system,PaymentCard,2021-01-13,1497.0
1497.0,USD,155,membership payment,0,Success,Success,system,PaymentCard,2021-01-13,1497.0
1497.0,USD,7,membership payment,0,Success,Success,system,PaymentCard,2021-01-15,1497.0
1497.0,USD,12,membership payment,0,Success,Success,system,PaymentCard,2021-01-15,1497.0
499.0,USD,101,membership payment,0,Success,Success,system,PaymentCard,2021-01-15,499.0
1123.75,USD,150,membership additional service,0,Success,Success,system,PaymentCard,2021-01-15,1123.75
1497.0,USD,156,membership payment,0,Success,Success,system,PaymentCard,2021-01-15,1497.0
499.0,USD,18,membership additional service,0,Success,Success,system,PaymentCard,2021-01-16,499.0
5394.0,USD,157,membership payment,0,Success,Success,system,PaymentCard,2021-01-18,5394.0
499.0,USD,70,membership additional service,0,Success,Success,system,PaymentCard,2021-01-20,499.0
199980.0,USD,159,membership payment,0,Success,Success,system,PaymentCard,2021-01-21,199980.0
4000.0,USD,128,membership additional service,0,Success,Success,system,PaymentCard,2021-01-21,4000.0
499.0,USD,70,membership additional service,0,Success,Success,system,PaymentCard,2021-01-22,499.0
499.0,USD,87,membership additional service,0,Success,Success,system,PaymentCard,2021-01-23,499.0
499.0,USD,160,membership payment,0,Success,Success,system,PaymentCard,2021-01-25,499.0
3371.25,USD,161,membership payment,0,Success,Success,system,PaymentCard,2021-01-25,3371.25
1497.0,USD,162,membership payment,0,Success,Success,system,PaymentCard,2021-01-25,1497.0
1497.0,USD,86,membership payment,0,Success,Success,system,PaymentCard,2021-01-26,1497.0
1497.0,USD,105,membership payment,0,Success,Success,system,PaymentCard,2021-01-26,1497.0
499.0,USD,138,membership payment,0,Success,Success,system,PaymentCard,2021-01-26,499.0
499.0,USD,87,membership additional service,0,Success,Success,system,PaymentCard,2021-01-27,499.0
499.0,USD,145,membership payment,0,Success,Success,system,PaymentCard,2021-01-28,499.0
803.0,USD,148,membership payment,0,Success,Success,system,PaymentCard,2021-01-28,803.0
1497.0,USD,163,membership payment,0,Success,Success,system,PaymentCard,2021-01-28,1497.0
1497.0,USD,164,membership payment,0,Success,Success,system,PaymentCard,2021-01-28,1497.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-01-28,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-01-28,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-01-28,499.0
499.0,USD,74,membership additional service,0,Success,Success,system,PaymentCard,2021-01-28,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-01-28,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-01-28,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-01-29,499.0
1497.0,USD,87,membership payment,0,Success,Success,system,PaymentCard,2021-01-29,1497.0
1497.0,USD,20,membership payment,0,Success,Success,system,PaymentCard,2021-02-01,1497.0
1497.0,USD,70,membership payment,0,Success,Success,system,PaymentCard,2021-02-01,1497.0
8997.0,USD,71,membership payment,0,Success,Success,system,PaymentCard,2021-02-01,8997.0
1497.0,USD,91,membership payment,0,Success,Success,system,PaymentCard,2021-02-01,1497.0
3371.25,USD,103,membership payment,0,Success,Success,system,PaymentCard,2021-02-01,3371.25
22312.5,DKK,110,membership payment,0,Success,Success,system,PaymentCard,2021-02-01,3346.875
178747.5,DKK,111,membership payment,0,Success,Success,system,PaymentCard,2021-02-01,26812.125
32497.5,DKK,112,membership payment,0,Success,Success,system,PaymentCard,2021-02-01,4874.625
2997.0,USD,139,membership payment,0,Success,Success,system,PaymentCard,2021-02-01,2997.0
11400.0,USD,142,membership payment,0,Success,Success,system,PaymentCard,2021-02-01,11400.0
8000.0,USD,128,membership payment,0,Success,Success,system,PaymentCard,2021-02-01,8000.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-01,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-01,499.0
1497.0,USD,120,membership payment,0,Success,Success,system,PaymentCard,2021-02-02,1497.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-02,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,165,membership payment,0,Success,Success,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-03,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
10800.0,USD,147,membership payment,0,Success,Success,system,PaymentCard,2021-02-04,10800.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,138,membership additional service,0,Success,Success,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Failed,Your card was declined.,system,PaymentCard,2021-02-04,499.0
499.0,USD,129,membership payment,0,Success,Success,system,PaymentCard,2021-02-04,499.0
1497.0,USD,140,membership payment,0,Success,Success,system,PaymentCard,2021-02-05,1497.0
1123.75,USD,150,membership payment,0,Success,Success,system,PaymentCard,2021-02-05,1123.75
499.0,USD,18,membership additional service,0,Success,Success,system,PaymentCard,2021-02-05,499.0
1497.0,USD,166,membership payment,0,Success,Success,system,PaymentCard,2021-02-05,1497.0
2997.0,USD,118,membership payment,0,Success,Success,system,PaymentCard,2021-02-05,2997.0
